Query,Response,neg,neu,pos,compound
hi how are you doing,im fine how about yourself,0.0,1.0,0.0,0.0
im fine how about yourself,im pretty good thanks for asking,0.0,0.69,0.31,0.2023
im pretty good thanks for asking,no problem so how have you been,0.0,0.25,0.75,0.8402
no problem so how have you been,ive been great what about you,0.495,0.505,0.0,-0.5994
ive been great what about you,ive been good im in school right now,0.0,0.549,0.451,0.6249
ive been good im in school right now,what school do you go to,0.0,0.707,0.293,0.4404
what school do you go to,i go to pcc,0.0,1.0,0.0,0.0
i go to pcc,do you like it there,0.0,1.0,0.0,0.0
do you like it there,its okay its a really big campus,0.0,0.615,0.385,0.3612
its okay its a really big campus,good luck with school,0.0,0.725,0.275,0.2263
good luck with school,thank you very much,0.0,0.253,0.747,0.7096
hows it going,im doing well how about you,0.0,1.0,0.0,0.0
im doing well how about you,never better thanks,0.0,0.704,0.296,0.2732
never better thanks,so how have you been lately,0.828,0.172,0.0,-0.5875
so how have you been lately,ive actually been pretty good you,0.0,1.0,0.0,0.0
ive actually been pretty good you,im actually in school right now,0.0,0.396,0.604,0.7269
im actually in school right now,which school do you attend,0.0,1.0,0.0,0.0
which school do you attend,im attending pcc right now,0.0,1.0,0.0,0.0
im attending pcc right now,are you enjoying it there,0.0,1.0,0.0,0.0
are you enjoying it there,its not bad there are a lot of people there,0.0,0.541,0.459,0.5267
its not bad there are a lot of people there,good luck with that,0.0,0.737,0.263,0.431
good luck with that,thanks,0.0,0.253,0.747,0.7096
how are you doing today,im doing great what about you,0.0,1.0,0.0,0.0
im doing great what about you,im absolutely lovely thank you,0.0,0.549,0.451,0.6249
im absolutely lovely thank you,everythings been good with you,0.0,0.304,0.696,0.7828
everythings been good with you,i havent been better how about yourself,0.0,0.58,0.42,0.4404
i havent been better how about yourself,i started school recently,0.325,0.675,0.0,-0.3412
i started school recently,where are you going to school,0.0,1.0,0.0,0.0
where are you going to school,im going to pcc,0.0,1.0,0.0,0.0
im going to pcc,how do you like it so far,0.0,1.0,0.0,0.0
how do you like it so far,i like it so far my classes are pretty good right now,0.0,0.706,0.294,0.3612
i like it so far my classes are pretty good right now,i wish you luck,0.0,0.482,0.518,0.8225
its an ugly day today,i know i think it may rain,0.452,0.548,0.0,-0.5106
i know i think it may rain,its the middle of summer it shouldnt rain today,0.0,1.0,0.0,0.0
its the middle of summer it shouldnt rain today,that would be weird,0.0,1.0,0.0,0.0
that would be weird,yeah especially since its ninety degrees outside,0.362,0.638,0.0,-0.1779
yeah especially since its ninety degrees outside,i know it would be horrible if it rained and it was hot outside,0.0,0.732,0.268,0.296
i know it would be horrible if it rained and it was hot outside,yes it would be,0.226,0.774,0.0,-0.5423
yes it would be,i really wish it wasnt so hot every day,0.0,0.526,0.474,0.4019
i really wish it wasnt so hot every day,me too i cant wait until winter,0.0,0.7,0.3,0.4576
me too i cant wait until winter,i like winter too but sometimes it gets too cold,0.0,1.0,0.0,0.0
i like winter too but sometimes it gets too cold,id rather be cold than hot,0.0,0.821,0.179,0.1901
id rather be cold than hot,me too,0.0,1.0,0.0,0.0
it doesnt look very nice outside today,youre right i think its going to rain later,0.298,0.702,0.0,-0.3713
youre right i think its going to rain later,in the middle of the summer it shouldnt be raining,0.0,1.0,0.0,0.0
in the middle of the summer it shouldnt be raining,that wouldnt seem right,0.0,1.0,0.0,0.0
that wouldnt seem right,considering that its over ninety degrees outside that would be weird,0.0,1.0,0.0,0.0
considering that its over ninety degrees outside that would be weird,exactly it wouldnt be nice if it started raining its too hot,0.145,0.855,0.0,-0.1779
exactly it wouldnt be nice if it started raining its too hot,i know youre absolutely right,0.175,0.825,0.0,-0.3252
i know youre absolutely right,i wish it would cool off one day,0.0,1.0,0.0,0.0
i wish it would cool off one day,thats how i feel i want winter to come soon,0.0,0.5,0.5,0.6124
thats how i feel i want winter to come soon,i enjoy the winter but it gets really cold sometimes,0.0,0.843,0.157,0.0772
